cmc,power,toughness,color_identity,type_1
6.0,3.0,3.0,['R'],Creature 
2.0,2.0,2.0,['W'],Creature 
0.0,1.0,1.0,['W'],Token Creature 
3.0,1.0,2.0,['U'],Creature 
1.0,2.0,1.0,['W'],Creature 
3.0,3.0,1.0,['U'],Creature 
1.0,0.0,1.0,['G'],Creature 
7.0,4.0,4.0,[],Artifact Creature 
3.0,2.0,4.0,['B'],Creature 
6.0,4.0,4.0,['G'],Creature 
2.0,0.0,5.0,['G'],Creature 
3.0,3.0,1.0,['B'],Creature 
4.0,2.0,2.0,['G'],Creature 
2.0,1.0,1.0,['W'],Creature 
1.0,2.0,3.0,['W'],Creature 
2.0,2.0,2.0,['B'],Creature 
4.0,3.0,4.0,['W'],Legendary Creature 
2.0,1.0,1.0,['U'],Creature 
2.0,1.0,1.0,['B'],Creature 
6.0,1.0,1.0,[],Artifact Creature 
7.0,5.0,7.0,['G'],Creature 
3.0,2.0,2.0,['B'],Creature 
2.0,2.0,1.0,['U'],Creature 
2.0,1.0,1.0,['B'],Creature 
3.0,2.0,2.0,"['G', 'U']",Legendary Creature 
5.0,3.0,3.0,['U'],Creature 
4.0,1.0,1.0,['R'],Creature 
6.0,4.0,5.0,['G'],Creature 
3.0,2.0,1.0,['G'],Creature 
5.0,3.0,4.0,['W'],Creature 
6.0,2.0,3.0,"['B', 'G']",Legendary Creature 
4.0,3.0,3.0,"['B', 'U']",Legendary Creature 
4.0,3.0,3.0,['W'],Legendary Creature 
4.0,3.0,5.0,"['B', 'R', 'W']",Legendary Creature 
0.0,0.0,2.0,[],Artifact Creature 
6.0,6.0,1.0,['R'],Legendary Creature 
1.0,1.0,1.0,['B'],Creature 
3.0,1.0,4.0,['W'],Creature 
2.0,3.0,1.0,['G'],Creature 
4.0,1.0,1.0,['B'],Creature 
7.0,8.0,8.0,"['B', 'G']",Legendary Creature 
5.0,4.0,5.0,"['G', 'W']",Legendary Creature 
5.0,5.0,4.0,['B'],Creature 
5.0,5.0,4.0,['R'],Creature 
5.0,4.0,4.0,['B'],Creature 
3.0,3.0,3.0,['W'],Creature 
4.0,2.0,1.0,['B'],Creature 
5.0,5.0,4.0,['G'],Creature 
7.0,4.0,4.0,"['B', 'G']",Legendary Creature 
5.0,4.0,4.0,[],Artifact 
0.0,1.0,1.0,['G'],Token Creature 
