name,mana_cost,cmc,type_line,power,toughness,colors,color_identity,produced_mana
Fury Sliver,{5}{R},6.0,Creature — Sliver,3,3,['R'],['R'],
Kor Outfitter,{W}{W},2.0,Creature — Kor Soldier,2,2,['W'],['W'],
Spirit,,0.0,Token Creature — Spirit,1,1,['W'],['W'],
Siren Lookout,{2}{U},3.0,Creature — Siren Pirate,1,2,['U'],['U'],
Web,{G},1.0,Enchantment — Aura,,,['G'],['G'],
Venerable Knight,{W},1.0,Creature — Human Knight,2,1,['W'],['W'],
Wildcall,{X}{G}{G},2.0,Sorcery,,,['G'],['G'],
Mystic Skyfish,{2}{U},3.0,Creature — Fish,3,1,['U'],['U'],
Swamp,,0.0,Basic Land — Swamp,,,[],['B'],['B']
Swamp,,0.0,Basic Land — Swamp,,,[],['B'],['B']
Birds of Paradise,{G},1.0,Creature — Bird,0,1,['G'],['G'],"['B', 'G', 'R', 'U', 'W']"
Bronze Horse,{7},7.0,Artifact Creature — Horse,4,4,[],[],
Wall of Vipers,{2}{B},3.0,Creature — Snake Wall,2,4,['B'],['B'],
Mulch,{1}{G},2.0,Sorcery,,,['G'],['G'],
Whiptongue Hydra,{5}{G},6.0,Creature — Lizard Hydra,4,4,['G'],['G'],
Wall of Roots,{1}{G},2.0,Creature — Plant Wall,0,5,['G'],['G'],['G']
Siren's Call,{U},1.0,Instant,,,['U'],['U'],
Blood Operative,{1}{B}{B},3.0,Creature — Vampire Assassin,3,1,['B'],['B'],
Selvala's Enforcer,{3}{G},4.0,Creature — Elf Warrior,2,2,['G'],['G'],
Fresh Meat,{3}{G},4.0,Instant,,,['G'],['G'],
Orzhov Guildgate,,0.0,Land — Gate,,,[],"['B', 'W']","['B', 'W']"
Sinew Sliver,{1}{W},2.0,Creature — Sliver,1,1,['W'],['W'],
Charge,{W},1.0,Instant,,,['W'],['W'],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Novice Knight,{W},1.0,Creature — Human Knight,2,3,['W'],['W'],
Fallen Askari,{1}{B},2.0,Creature — Human Knight,2,2,['B'],['B'],
Altar's Reap,{1}{B},2.0,Instant,,,['B'],['B'],
"Odric, Master Tactician",{2}{W}{W},4.0,Legendary Creature — Human Soldier,3,4,['W'],['W'],
Afflict,{2}{B},3.0,Instant,,,['B'],['B'],
Invisible Stalker,{1}{U},2.0,Creature — Human Rogue,1,1,['U'],['U'],
"Dakkon, Shadow Slayer",{W}{U}{B},3.0,Legendary Planeswalker — Dakkon,,,"['B', 'U', 'W']","['B', 'U', 'W']",
Shahrazad,{W}{W},2.0,Sorcery,,,['W'],['W'],
Destructive Tampering,{2}{R},3.0,Sorcery,,,['R'],['R'],
Harmonize,{2}{G}{G},4.0,Sorcery,,,['G'],['G'],
Nocturnal Raid,{2}{B}{B},4.0,Instant,,,['B'],['B'],
Flensermite,{1}{B},2.0,Creature — Phyrexian Gremlin,1,1,['B'],['B'],
Triskelion,{6},6.0,Artifact Creature — Construct,1,1,[],[],
Gate Smasher,{3},3.0,Artifact — Equipment,,,[],[],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
World Breaker,{6}{G},7.0,Creature — Eldrazi,5,7,[],['G'],
Mad Auntie,{2}{B},3.0,Creature — Goblin Shaman,2,2,['B'],['B'],
Coral Eel,{1}{U},2.0,Creature — Fish,2,1,['U'],['U'],
Lurking Nightstalker,{B}{B},2.0,Creature — Nightstalker,1,1,['B'],['B'],
Spark Spray,{R},1.0,Instant,,,['R'],['R'],
Remand,{1}{U},2.0,Instant,,,['U'],['U'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
"Edric, Spymaster of Trest",{1}{G}{U},3.0,Legendary Creature — Elf Rogue,2,2,"['G', 'U']","['G', 'U']",
Clearwater Pathway // Clearwater Pathway,,0.0,Card // Card,,,,[],
Bubbling Beebles,{4}{U},5.0,Creature — Beeble,3,3,['U'],['U'],
Unholy Strength,{B},1.0,Enchantment — Aura,,,['B'],['B'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Consecrate // Consume,{1}{W/B} // {2}{W}{B},6.0,Instant // Sorcery,,,"['B', 'W']","['B', 'W']",
Thornwood Falls,,0.0,Land,,,[],"['G', 'U']","['G', 'U']"
Goblin Bowling Team,{3}{R},4.0,Creature — Goblin,1,1,['R'],['R'],
Elvish Aberration,{5}{G},6.0,Creature — Elf Mutant,4,5,['G'],['G'],['G']
Wings of Aesthir,{W}{U},2.0,Enchantment — Aura,,,"['U', 'W']","['U', 'W']",
Mwonvuli Beast Tracker,{1}{G}{G},3.0,Creature — Human Scout,2,1,['G'],['G'],
Return to Dust,{2}{W}{W},4.0,Instant,,,['W'],['W'],
Shock,{R},1.0,Instant,,,['R'],['R'],
Walk the Plank,{B}{B},2.0,Sorcery,,,['B'],['B'],
Sphinx's Revelation,{X}{W}{U}{U},3.0,Instant,,,"['U', 'W']","['U', 'W']",
Mise,{U},1.0,Instant,,,['U'],['U'],
Kor Entanglers,{4}{W},5.0,Creature — Kor Soldier Ally,3,4,['W'],['W'],
Spread the Sickness,{4}{B},5.0,Sorcery,,,['B'],['B'],
"Izoni, Thousand-Eyed",{2}{B}{B}{G}{G},6.0,Legendary Creature — Elf Shaman,2,3,"['B', 'G']","['B', 'G']",
Duelist's Heritage,{2}{W},3.0,Enchantment,,,['W'],['W'],
"Lazav, Dimir Mastermind",{U}{U}{B}{B},4.0,Legendary Creature — Shapeshifter,3,3,"['B', 'U']","['B', 'U']",
Celestial Kirin,{2}{W}{W},4.0,Legendary Creature — Kirin Spirit,3,3,['W'],['W'],
"Snapdax, Apex of the Hunt",{1}{R}{W}{B},4.0,Legendary Creature — Dinosaur Cat Nightmare,3,5,"['B', 'R', 'W']","['B', 'R', 'W']",
Ornithopter,{0},0.0,Artifact Creature — Thopter,0,2,[],[],
"Kamahl, Pit Fighter",{4}{R}{R},6.0,Legendary Creature — Human Barbarian,6,1,['R'],['R'],
Saheeli's Directive,{X}{R}{R}{R},3.0,Sorcery,,,['R'],['R'],
Festering Goblin,{B},1.0,Creature — Zombie Goblin,1,1,['B'],['B'],
Orzhov Advokist,{2}{W},3.0,Creature — Human Advisor,1,4,['W'],['W'],
Initiate's Companion,{1}{G},2.0,Creature — Cat,3,1,['G'],['G'],
Tsabo's Assassin,{2}{B}{B},4.0,Creature — Phyrexian Zombie Assassin,1,1,['B'],['B'],
"Hogaak, Arisen Necropolis",{5}{B/G}{B/G},7.0,Legendary Creature — Avatar,8,8,"['B', 'G']","['B', 'G']",
Survival of the Fittest,{1}{G},2.0,Enchantment,,,['G'],['G'],
Jasmine Boreal,{3}{G}{W},5.0,Legendary Creature — Human,4,5,"['G', 'W']","['G', 'W']",
Bone Dragon,{3}{B}{B},5.0,Creature — Dragon Skeleton,5,4,['B'],['B'],
Psychic Venom,{1}{U},2.0,Enchantment — Aura,,,['U'],['U'],
Fire Elemental,{3}{R}{R},5.0,Creature — Elemental,5,4,['R'],['R'],
Grizzly Fate,{3}{G}{G},5.0,Sorcery,,,['G'],['G'],
Ancient Spring,,0.0,Land,,,[],"['B', 'U', 'W']","['B', 'U', 'W']"
Sengir Vampire,{3}{B}{B},5.0,Creature — Vampire,4,4,['B'],['B'],
Digsite Engineer,{2}{W},3.0,Creature — Dwarf Artificer,3,3,['W'],['W'],
Belbe's Armor,{3},3.0,Artifact,,,[],[],
Slinking Skirge,{3}{B},4.0,Creature — Phyrexian Imp,2,1,['B'],['B'],
Thalakos Lowlands,,0.0,Land,,,[],"['U', 'W']","['C', 'U', 'W']"
Spined Wurm,{4}{G},5.0,Creature — Wurm,5,4,['G'],['G'],
Grim Captain's Call,{2}{B},3.0,Sorcery,,,['B'],['B'],
Catastrophe,{4}{W}{W},6.0,Sorcery,,,['W'],['W'],
Beledros Witherbloom,{5}{B}{G},7.0,Legendary Creature — Elder Dragon,4,4,"['B', 'G']","['B', 'G']",
Enchanted Carriage,{5},5.0,Artifact — Vehicle,4,4,[],[],
Insect,,0.0,Token Creature — Insect,1,1,['G'],['G'],
Floodbringer,{1}{U},2.0,Creature — Moonfolk Wizard,1,2,['U'],['U'],
Phyresis,{1}{B},2.0,Enchantment — Aura,,,['B'],['B'],
Banewhip Punisher,{2}{B},3.0,Creature — Human Warrior,2,2,['B'],['B'],
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
"Nin, the Pain Artist",{U}{R},2.0,Legendary Creature — Vedalken Wizard,1,1,"['R', 'U']","['R', 'U']",
Corpse Traders,{3}{B},4.0,Creature — Human Rogue,3,3,['B'],['B'],
Zodiac Rabbit,{G},1.0,Creature — Rabbit,1,1,['G'],['G'],
Rite of the Serpent,{4}{B}{B},6.0,Sorcery,,,['B'],['B'],
Scourge of Fleets,{5}{U}{U},7.0,Creature — Kraken,6,6,['U'],['U'],
Maro's Gone Nuts,{G}{G},2.0,Enchantment,,,['G'],['G'],
Skullclamp,{1},1.0,Artifact — Equipment,,,[],[],
Skullmane Baku,{3}{B}{B},5.0,Creature — Spirit,2,1,['B'],['B'],
Pia Nalaar,{2}{R},3.0,Legendary Creature — Human Artificer,2,2,['R'],['R'],
Shatterskull Charger,{1}{R}{R},3.0,Creature — Giant Warrior,4,3,['R'],['R'],
Infected Vermin,{2}{B},3.0,Creature — Rat,1,1,['B'],['B'],
Venerable Warsinger,{1}{R}{W},3.0,Creature — Spirit Cleric,3,3,"['R', 'W']","['R', 'W']",
Murderous Betrayal,{B}{B}{B},3.0,Enchantment,,,['B'],['B'],
Eyeblight Massacre,{2}{B}{B},4.0,Sorcery,,,['B'],['B'],
Raise Dead,{B},1.0,Sorcery,,,['B'],['B'],
Saprazzan Skerry,,0.0,Land,,,[],['U'],['U']
Elder Gargaroth,{3}{G}{G},5.0,Creature — Beast,6,6,['G'],['G'],
Jan Tomcani Bio,,0.0,Card,,,[],[],
Enigma Drake,{1}{U}{R},3.0,Creature — Drake,*,4,"['R', 'U']","['R', 'U']",
Sphinx Summoner,{3}{U}{B},5.0,Artifact Creature — Sphinx,3,3,"['B', 'U']","['B', 'U']",
Blessing of Frost,{3}{G},4.0,Snow Sorcery,,,['G'],['G'],
Saproling,,0.0,Token Creature — Saproling,1,1,['G'],['G'],
Worship,{3}{W},4.0,Enchantment,,,['W'],['W'],
Duress,{B},1.0,Sorcery,,,['B'],['B'],
"Miara, Thorn of the Glade",{1}{B},2.0,Legendary Creature — Elf Scout,1,2,['B'],['B'],
Flame Slash,{R},1.0,Sorcery,,,['R'],['R'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Touch of the Void,{2}{R},3.0,Sorcery,,,[],['R'],
Guardian Angel,{X}{W},1.0,Instant,,,['W'],['W'],
